date,price
06/13/18,2783.06
06/14/18,2782.79
06/15/18,2772.27
06/18/18,2766.055
06/19/18,2754.12
06/20/18,2769.385
06/21/18,2756.835
06/22/18,2758.425
06/25/18,2720.805
06/26/18,2724.255
06/27/18,2722.735
06/28/18,2708.165
06/29/18,2730.645
07/02/18,2713.105
07/03/18,2723.87
07/04/18,2723.87
07/05/18,2726.925
07/06/18,2748.965
07/09/18,2777.69
07/10/18,2790.91
07/11/18,2778.34
07/12/18,2790.375
07/13/18,2798.11
07/16/18,2797.29
07/17/18,2801.715
07/18/18,2811.325
07/19/18,2805.91
07/20/18,2804.855
07/23/18,2801.875
07/24/18,2820.555
07/25/18,2832.88
07/26/18,2840.415
07/27/18,2825.755
07/30/18,2809.925
07/31/18,2816.26
08/01/18,2815.84
08/02/18,2813.125
08/03/18,2833.875
08/06/18,2844.635
08/07/18,2859.675
08/08/18,2857.765
08/09/18,2857.23
08/10/18,2834.005
08/13/18,2831.64
08/14/18,2834.845
08/15/18,2815.22
08/16/18,2840.965
08/17/18,2844.68
08/20/18,2855.19
08/21/18,2867.275
08/22/18,2861.795
08/23/18,2861.405
08/24/18,2869.255
08/27/18,2891.47
08/28/18,2898.635
08/29/18,2907.45
08/30/18,2903.84
08/31/18,2899.025
09/03/18,2899.025
09/04/18,2892.655
09/05/18,2885.565
09/06/18,2879.67
09/07/18,2873.965
09/10/18,2881.435
09/11/18,2879.65
09/12/18,2886.925
09/13/18,2901.575
09/14/18,2902.035
09/17/18,2895.405
09/18/18,2900.8
09/19/18,2908.09
09/20/18,2927.265
09/21/18,2934.01
09/24/18,2918.21
09/25/18,2918.825
09/26/18,2917.215
09/27/18,2918.245
09/28/18,2914.015
10/01/18,2927.485
10/02/18,2925.395
10/03/18,2930.61
10/04/18,2901.85
10/05/18,2889.465
10/08/18,2875.765
10/09/18,2884.55
10/10/18,2829.44
10/11/18,2752.825
10/12/18,2752.605
10/15/18,2762.51
10/16/18,2790.185
10/17/18,2799.375
10/18/18,2780.61
10/19/18,2779.02
10/22/18,2764.08
10/23/18,2722.51
10/24/18,2697.24
10/25/18,2695.27
10/26/18,2660.27
10/29/18,2655.195
10/30/18,2660.385
10/31/18,2721.145
11/01/18,2725.26
11/02/18,2728.495
11/05/18,2731.105
11/06/18,2746.95
11/07/18,2794.64
11/08/18,2804.87
11/09/18,2779.17
11/12/18,2748.995
11/13/18,2734.79
11/14/18,2716.275
11/15/18,2703.065
11/16/18,2729.455
11/19/18,2707.125
11/20/18,2650.48
11/21/18,2660.275
11/22/18,2660.275
11/23/18,2639.32
11/26/18,2662.16
11/27/18,2669.21
11/28/18,2714.19
11/29/18,2738.345
11/30/18,2746.82
12/03/18,2786.78
12/04/18,2741.555
12/05/18,2741.555
12/06/18,2658.84
12/07/18,2665.84
12/10/18,2615.37
12/11/18,2647.825
12/12/18,2667.85
12/13/18,2653.73
12/14/18,2614.455
12/17/18,2565.835
12/18/18,2551.35
12/19/18,2537.125
12/20/18,2475.405
12/21/18,2456.48
12/24/18,2380.72
12/25/18,2380.72
12/26/18,2407.17
12/27/18,2443.52
12/28/18,2496.58
12/31/18,2496.03
01/01/19,2496.03
01/02/19,2493.48
01/03/19,2468.55
01/04/19,2506.2
01/07/19,2545.36
01/08/19,2563.69
01/09/19,2582.105
01/10/19,2579.92
01/11/19,2586.835
01/14/19,2579.865
01/15/19,2599.09
01/16/19,2619.22
01/17/19,2625.71
01/18/19,2661.525
01/21/19,2661.525
01/22/19,2637.575
01/23/19,2633.025
01/24/19,2637.105
01/25/19,2664.855
01/28/19,2634.515
01/29/19,2640.99
01/30/19,2669.39
01/31/19,2693.8
02/01/19,2706.77
02/04/19,2711.87
02/05/19,2731.505
02/06/19,2731.115
02/07/19,2703.29
02/08/19,2694.95
02/11/19,2710.92
02/12/19,2735.4
02/13/19,2755.24
02/14/19,2744.565
02/15/19,2767.95
02/18/19,2767.95
02/19/19,2777.31
02/20/19,2781.97
02/21/19,2773.065
02/22/19,2786.655
02/25/19,2804.24
02/26/19,2796.295
02/27/19,2785.445
02/28/19,2788.12
03/01/19,2797.7
03/04/19,2792.27
03/05/19,2789.705
03/06/19,2779.48
03/07/19,2753.17
03/08/19,2733.2
03/11/19,2765.805
03/12/19,2792.525
03/13/19,2810.51
03/14/19,2809.23
03/15/19,2820.76
03/18/19,2828.7
03/19/19,2837.845
